"Tiempo","Frecuencia (Hz)","ESTACION","FECHA SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"01/07/2025  17:40:05,978","    88100000"," ","16/01/2024  13:57:40,000","R","  58,8","      462500","      -30725","       79954","Procesar Archivos de resultos de medición: Result. de med."
"01/07/2025  17:40:05,978","    88300000"," ","16/01/2024  13:57:40,000","R","  49,5","      119687","       10945","       79961","Propriedades del res. de med.:"
"01/07/2025  17:40:05,978","    88500000","PUBLICA FM","27/11/2015  13:57:40,000","R","  80,4","      151250","        -298","       53876"," Fecha inic.: 01/07/2025"
"01/07/2025  17:40:05,978","    88700000"," ","16/01/2024  13:57:40,000","R","  38,2","      109062","          63","       79970"," Hora inicial: 17:40:05"
"01/07/2025  17:40:05,978","    88900000"," ","16/01/2024  13:57:40,000","R","  48,6","      499687","         198","       79908"," Fecha final: 31/07/2025"
"01/07/2025  17:40:05,978","    89100000"," ","16/01/2024  13:57:40,000","R","  46,3","      499687","        -875","       79937"," Hora final: 7:47:35"
"01/07/2025  17:40:05,978","    89300000","RADIO MORONA NO autorizada","04/03/2021  13:57:40,000","M","  62,1","      312500","      -41742","       79996"," Cantidad de med.: 9696"
"01/07/2025  17:40:05,978","    89500000"," ","16/01/2024  13:57:40,000","R","  38,1","      475937","         171","       79973","Columnas: Tiempo"
"01/07/2025  17:40:05,978","    89700000","LA VOZ DE LA NAE","08/09/2021  13:57:40,000","M","  46,0","      499687","         565","       79943"," Frecuencia"
"01/07/2025  17:40:05,978","    89900000"," ","16/01/2024  13:57:40,000","R","  42,3","      499687","         188","       79945"," ESTACION"
"01/07/2025  17:40:05,978","    90100000"," ","16/01/2024  13:57:40,000","R","  49,6","      499687","         987","       79945"," FECHA SUSCRIPCION"
"01/07/2025  17:40:05,978","    90300000"," ","16/01/2024  13:57:40,000","R","  46,2","       74062","        4388","       79986"," TIPO"
"01/07/2025  17:40:05,978","    90500000","RADIO LA VOZ DEL UPANO","24/07/2017  13:57:40,000","M"," 109,8","       75625","         391","       35406"," Level"
"01/07/2025  17:40:05,978","    90700000"," ","16/01/2024  13:57:40,000","R","  43,3","       84062","       -3572","       79987"," Bandwidth"
"01/07/2025  17:40:05,978","    90900000","LA RADIO DE LA ASAMBLEA NACIONAL","26/03/2013  13:57:40,000","R","  46,3","      499687","       -1074","       79945"," Offset"
"01/07/2025  17:40:05,978","    91300000"," ","16/01/2024  13:57:40,000","R","  47,1","      498125","        -811","       79985"," FM"
"01/07/2025  17:40:05,978","    91500000"," ","16/01/2024  13:57:40,000","R","  68,4","      135312","       32351","       79955"," "
"01/07/2025  17:40:05,978","    91700000","BONITA FM","02/06/2005  13:57:40,000","M"," 107,2","      186250","       -4827","       62704","Origen:"
"01/07/2025  17:40:05,978","    91900000"," ","16/01/2024  13:57:40,000","R","  64,1","      139687","      -25631","       79958","Resultados de medic.: FmM025_250707_0101"
"01/07/2025  17:40:05,978","    92100000"," ","16/01/2024  13:57:40,000","R","  49,3","      499687","        1522","       79923","Resultados de medic.: FmM025_250702_0201"
"01/07/2025  17:40:05,978","    92300000"," ","16/01/2024  13:57:40,000","R","  47,2","      499687","        6006","       79970","Resultados de medic.: FmM025_250703_0101"
"01/07/2025  17:40:05,978","    92500000"," ","16/01/2024  13:57:40,000","R","  55,6","      131562","        8983","       79962","Resultados de medic.: FmM025_250703_0201"
"01/07/2025  17:40:05,978","    92700000"," ","16/01/2024  13:57:40,000","R","  81,8","      160625","       38865","       79929","Resultados de medic.: FmM025_250704_0101"
"01/07/2025  17:40:05,978","    92900000","RADIO MIA FM (MAGNIFICA INTEGRACION AMAZÓNICA)","30/05/2017  13:57:40,000","R"," 105,8","      185000","         767","       71014","Resultados de medic.: FmM025_250704_0201"
"01/07/2025  17:40:05,978","    93100000"," ","16/01/2024  13:57:40,000","R","  82,0","      140000","      -38224","       79943","Resultados de medic.: FmM025_250702_0101"
"01/07/2025  17:40:05,978","    93500000"," ","16/01/2024  13:57:40,000","R","  44,1","      499687","       -5334","       79978","Resultados de medic.: FmM025_250701_0201"
"01/07/2025  17:40:05,978","    93700000"," ","16/01/2024  13:57:40,000","R","  46,9","      499687","        -813","       79947","Resultados de medic.: FmM025_250707_0201"
"01/07/2025  17:40:05,978","    93900000"," ","16/01/2024  13:57:40,000","R","  45,1","       99375","        1339","       79988","Resultados de medic.: FmM025_250708_0101"
"01/07/2025  17:40:05,978","    94100000","CANAL JUVENIL FM","12/05/1998  13:57:40,000","M","  62,4","      101562","         -31","       34363","Resultados de medic.: FmM025_250709_0201"
"01/07/2025  17:40:05,978","    94300000"," ","16/01/2024  13:57:40,000","R","  37,0","      103125","      -10612","       79944","Resultados de medic.: FmM025_250710_0101"
"01/07/2025  17:40:05,978","    94500000"," ","16/01/2024  13:57:40,000","R","  43,8","      499687","        -427","       79907","Resultados de medic.: FmM025_250710_0201"
"01/07/2025  17:40:05,978","    94700000"," ","16/01/2024  13:57:40,000","R","  36,9","      499687","        2108","       79950","Resultados de medic.: FmM025_250711_0101"
"01/07/2025  17:40:05,978","    94900000"," ","16/01/2024  13:57:40,000","R","  43,1","      499687","        1829","       79943","Resultados de medic.: FmM025_250714_0101"
"01/07/2025  17:40:05,978","    95100000"," ","16/01/2024  13:57:40,000","R","  36,6","      499687","        -207","       79952","Resultados de medic.: FmM025_250714_0201"
"01/07/2025  17:40:05,978","    95300000"," ","16/01/2024  13:57:40,000","R","  45,5","      499687","        2616","       79958","Resultados de medic.: FmM025_250715_0101"
"01/07/2025  17:40:05,978","    95500000"," ","16/01/2024  13:57:40,000","R","  35,3","      499687","       -2933","       79940","Resultados de medic.: FmM025_250715_0201"
"01/07/2025  17:40:05,978","    95700000"," ","16/01/2024  13:57:40,000","R","  40,6","      499687","       -3507","       79940","Resultados de medic.: FmM025_250716_0101"
"01/07/2025  17:40:05,978","    95900000"," ","16/01/2024  13:57:40,000","R","  33,9","      499687","        1552","       79970","Resultados de medic.: FmM025_250716_0201"
"01/07/2025  17:40:05,978","    96100000","RADIO INTEROCEANICA","04/03/2021  13:57:40,000","R","  43,6","      499687","         313","       79990","Resultados de medic.: FmM025_250717_0101"
"01/07/2025  17:40:05,978","    96300000"," ","16/01/2024  13:57:40,000","R","  39,2","      499687","        4691","       79983","Resultados de medic.: FmM025_250717_0201"
"01/07/2025  17:40:05,978","    96500000"," ","16/01/2024  13:57:40,000","R","  52,6","      356562","        -663","       79907","Resultados de medic.: FmM025_250718_0101"
"01/07/2025  17:40:05,978","    96700000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","       -1811","       79965","Resultados de medic.: FmM025_250718_0201"
"01/07/2025  17:40:05,978","    96900000"," ","16/01/2024  13:57:40,000","R","  40,9","      499687","       -2643","       79909","Resultados de medic.: FmM025_250719_0101"
"01/07/2025  17:40:05,978","    97100000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","          37","       79965","Resultados de medic.: FmM025_250719_0201"
"01/07/2025  17:40:05,978","    97300000"," ","16/01/2024  13:57:40,000","R","  44,4","      499687","        1927","       79913","Resultados de medic.: FmM025_250720_0101"
"01/07/2025  17:40:05,978","    97500000"," ","16/01/2024  13:57:40,000","R","  35,6","      102187","        -538","       79985","Resultados de medic.: FmM025_250720_0201"
"01/07/2025  17:40:05,978","    97700000","SISTEMA RADIAL OLIMPICA","09/01/2003  13:57:40,000","M","  89,6","      114062","       -1189","       24006","Resultados de medic.: FmM025_250721_0101"
"01/07/2025  17:40:05,978","    97900000"," ","16/01/2024  13:57:40,000","R","  38,8","      126250","       -1525","       79990","Resultados de medic.: FmM025_250721_0201"
"01/07/2025  17:40:05,978","    98100000"," ","16/01/2024  13:57:40,000","R","  47,8","      495312","         445","       79908","Resultados de medic.: FmM025_250722_0101"
"01/07/2025  17:40:05,978","    98300000"," ","16/01/2024  13:57:40,000","R","  55,8","      149375","       35181","       79927","Resultados de medic.: FmM025_250722_0201"
"01/07/2025  17:40:05,978","    98500000","TU PANA","02/03/2021  13:57:40,000","R","  98,4","      202500","        1808","       67912","Resultados de medic.: FmM025_250723_0101"
"01/07/2025  17:40:05,978","    98700000"," ","16/01/2024  13:57:40,000","R","  58,7","      499687","      -32073","       79954","Resultados de medic.: FmM025_250723_0201"
"01/07/2025  17:40:05,978","    98900000","RADIO MARIA","07/01/2021  13:57:40,000","R","  99,7","       73437","        -435","       37984","Resultados de medic.: FmM025_250724_0101"
"01/07/2025  17:40:05,978","    99100000"," ","16/01/2024  13:57:40,000","R","  40,3","        3437","        3138","       79983","Resultados de medic.: FmM025_250724_0201"
"01/07/2025  17:40:05,978","    99300000"," ","16/01/2024  13:57:40,000","R","  55,0","      499687","       -1172","       79908","Resultados de medic.: FmM025_250725_0101"
"01/07/2025  17:40:05,978","    99500000"," ","16/01/2024  13:57:40,000","R","  40,5","      499687","         240","       79960","Resultados de medic.: FmM025_250725_0201"
"01/07/2025  17:40:05,978","    99700000"," ","16/01/2024  13:57:40,000","R","  43,8","      499687","         445","       79930","Resultados de medic.: FmM025_250726_0101"
"01/07/2025  17:40:05,978","    99900000"," ","16/01/2024  13:57:40,000","R","  41,0","      499687","        -483","       79970","Resultados de medic.: FmM025_250726_0201"
"01/07/2025  17:40:05,978","   100100000","LA RADIO FM DIGITAL 100.1","28/12/2001  13:57:40,000","M","  49,7","      330937","       -3086","       79954","Resultados de medic.: FmM025_250727_0101"
"01/07/2025  17:40:05,978","   100300000"," ","16/01/2024  13:57:40,000","R","  56,5","      155000","       39667","       79986","Resultados de medic.: FmM025_250727_0201"
"01/07/2025  17:40:05,978","   100500000","RADIO RELOJ","03/03/2021  13:57:40,000","M"," 109,3","      183437","         499","       79938","Resultados de medic.: FmM025_250728_0101"
"01/07/2025  17:40:05,978","   100700000"," ","16/01/2024  13:57:40,000","R","  78,5","      140000","      -39747","       79933","Resultados de medic.: FmM025_250728_0201"
"01/07/2025  17:40:05,978","   100900000"," ","16/01/2024  13:57:40,000","R","  45,1","       61562","        4648","       79970","Resultados de medic.: FmM025_250729_0101"
"01/07/2025  17:40:05,978","   101100000"," ","16/01/2024  13:57:40,000","R","  41,1","      499687","        -459","       79987","Resultados de medic.: FmM025_250729_0201"
"01/07/2025  17:40:05,978","   101300000"," ","16/01/2024  13:57:40,000","R","  44,3","      499687","        -557","       79922","Resultados de medic.: FmM025_250730_0101"
"01/07/2025  17:40:05,978","   101500000"," ","16/01/2024  13:57:40,000","R","  40,9","      125625","        1691","       79990","Resultados de medic.: FmM025_250730_0201"
"01/07/2025  17:40:05,978","   101700000","RADIO UNIVERSITARIA PRIMICIAS DE LA CULTURA","04/07/2023  13:57:40,000","M"," 100,0","      131250","         156","       49077","Resultados de medic.: FmM025_250731_0101"
"01/07/2025  17:40:05,978","   101900000"," ","16/01/2024  13:57:40,000","R","  45,2","      121250","        4957","       79945"," "
"01/07/2025  17:40:05,978","   102100000"," ","16/01/2024  13:57:40,000","R","  46,9","      499687","       -5013","       79957","Arch. Info: $Temp00046"
"01/07/2025  17:40:05,978","   102300000"," ","16/01/2024  13:57:40,000","R","  42,5","      135000","       -9807","       79999"," "
"01/07/2025  17:40:05,978","   102500000","RADIO KIRUBA 102.5 FM(NO AUTORIZADA)","30/04/1998  13:57:40,000","M","  92,7","      260625","         745","       79908","Arch. Info: FmM025_250731_0101"
"01/07/2025  17:40:05,978","   102700000"," ","16/01/2024  13:57:40,000","R","  44,4","      152500","        8520","       79985","Unid. de med.: scs-l04"
"01/07/2025  17:40:05,978","   102900000"," ","16/01/2024  13:57:40,000","R","  50,7","      499687","        -250","       79952","Longitud: 078°07'40,5""W"
"01/07/2025  17:40:05,978","   103100000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","       -3899","       79966","Latitud: 02°18'58,7""S"
"01/07/2025  17:40:05,978","   103300000"," ","16/01/2024  13:57:40,000","R","  39,5","      499687","         771","       79908","Tipo result. de medic.: Result. de med."
"01/07/2025  17:40:05,978","   103500000"," ","16/01/2024  13:57:40,000","R","  36,3","      499687","        -586","       79952","Propied. de result. de med.: "
"01/07/2025  17:40:05,978","   103700000","RADIO IKIAM NO AUTORIZADA","22/11/2017  13:57:40,000","M","  40,5","      499687","         -94","       79917"," Número de mediciones: 9"
"01/07/2025  17:40:05,978","   103900000"," ","16/01/2024  13:57:40,000","R","  46,6","      498437","       15582","       79969","Definic. de horario:"
"01/07/2025  17:40:05,978","   104100000"," ","16/01/2024  13:57:40,000","R","  61,5","      382500","         -36","       79917","Nombre: FMmacas1"
"01/07/2025  17:40:05,978","   104300000"," ","16/01/2024  13:57:40,000","R","  44,6","      230937","      -22203","       79988","Fecha: 26/12/2024"
"01/07/2025  17:40:05,978","   104500000"," ","16/01/2024  13:57:40,000","R","  37,2","      499687","        -363","       79942","Hora: 8:21:45"
"01/07/2025  17:40:05,978","   104700000"," ","16/01/2024  13:57:40,000","R","  35,0","      499687","        1192","       79985","Definición de medición:"
"01/07/2025  17:40:05,978","   104900000","SHALOM","28/01/2022  13:57:40,000"," ","  41,8","      499687","       -1262","       79920","Nombre: FMmacas"
"01/07/2025  17:40:05,978","   105100000"," ","16/01/2024  13:57:40,000","R","  33,5","      499687","       -2503","       79970","Fecha: 16/01/2024"
"01/07/2025  17:40:05,978","   105300000"," ","16/01/2024  13:57:40,000","R","  37,8","      499687","        3149","       79909","Hora: 12:27:57"
"01/07/2025  17:40:05,978","   105500000"," ","16/01/2024  13:57:40,000","R","  35,7","      499687","         -38","       79937","Tipo de med.: Rastreo de lista de frec."
"01/07/2025  17:40:05,978","   105700000"," ","16/01/2024  13:57:40,000","R","  36,5","      499687","         883","       79923","Lista de frecuencias: FM MACAS TOT"
"01/07/2025  17:40:05,978","   105900000"," ","16/01/2024  13:57:40,000","R","  34,2","      499687","        1228","       79987","Squelch: Off"
"01/07/2025  17:40:05,978","   106100000"," ","16/01/2024  13:57:40,000","R","  41,2","      499687","        3178","       79948","Parámetro de med.: Level Bandwidth Offset FM"
"01/07/2025  17:40:05,978","   106300000"," ","16/01/2024  13:57:40,000","R","  59,6","      208437","       25622","       79949","Definición de rango:"
"01/07/2025  17:40:05,978","   106500000","ESTELAR FM","02/03/2021  13:57:40,000","M","  75,3","      282187","         -87","       79907","Nombre: FMmacas"
"01/07/2025  17:40:05,978","   106700000"," ","16/01/2024  13:57:40,000","R","  54,5","      209375","      -28998","       79990","Fecha: 28/01/2022"
"01/07/2025  17:40:05,978","   106900000"," ","16/01/2024  13:57:40,000","R","  38,1","      463125","        -921","       79908","Hora: 13:54:23"
"01/07/2025  17:40:05,978","   107100000"," ","16/01/2024  13:57:40,000","R","  34,3","      499687","       -4245","       79965","No. de subrangos: 1"
"01/07/2025  17:40:05,978","   107300000","LA VOZ DE ARUTAM (NO AUTORIZADA)","02/07/2004  13:57:40,000","M","  43,0","      499687","        2481","       79909","Subrango 1:"
"01/07/2025  17:40:05,978","   107500000"," ","16/01/2024  13:57:40,000","R","  57,2","      499687","         931","       79958","Frecuencia inicial: 88,000000 MHz"
"01/07/2025  17:40:05,978","   107700000"," ","16/01/2024  13:57:40,000","R","  46,3","      499687","        -616","       79950","Frecuencia final: 108,000000 MHz"
"01/07/2025  17:40:05,978","   107900000"," ","16/01/2024  13:57:40,000","R","  33,8","      499687","        3896","       79952","Dispos. 1:"
"01/07/2025  17:40:05,978","   108000000"," ","16/01/2024  13:57:40,000","R","  32,4","      499687","       16507","       79986","Nombre: HE500"
"01/07/2025  17:40:27,234","    88100000"," ","16/01/2024  13:57:40,000","R","  59,1","      393750","      -25472","       79954","Acimut: 0,000 Grad"
"01/07/2025  17:40:27,234","    88300000"," ","16/01/2024  13:57:40,000","R","  51,3","      498750","       14700","       79938","Elevación: 0,000 Grad"
"01/07/2025  17:40:27,234","    88500000","PUBLICA FM","27/11/2015  13:57:40,000","R","  79,7","      134062","        -422","       48244","Altura: 0,00 m"
"01/07/2025  17:40:27,234","    88700000"," ","16/01/2024  13:57:40,000","R","  44,4","      110937","       -2633","       79956","Dispos. 2:"
"01/07/2025  17:40:27,234","    88900000"," ","16/01/2024  13:57:40,000","R","  50,2","      499687","          13","       79908","Nombre: DDF255"
"01/07/2025  17:40:27,234","    89100000"," ","16/01/2024  13:57:40,000","R","  45,6","      499687","       -1182","       79908","Modo b. DF: Cont"
"01/07/2025  17:40:27,234","    89300000","RADIO MORONA NO autorizada","04/03/2021  13:57:40,000","M","  62,2","      323750","      -24686","       79979","Ancho ban. FI: 120 kHz"
"01/07/2025  17:40:27,234","    89500000"," ","16/01/2024  13:57:40,000","R","  41,5","      153125","         404","       79995","Tiempo integrac. b. DF: 100 ms"
"01/07/2025  17:40:27,234","    89700000","LA VOZ DE LA NAE","08/09/2021  13:57:40,000","M","  44,6","      499687","         790","       79943","Atenuación FR: Auto"
"01/07/2025  17:40:27,234","    89900000"," ","16/01/2024  13:57:40,000","R","  45,5","      499687","         437","       79940","Atenuación FI: Normal"
"01/07/2025  17:40:27,234","    90100000"," ","16/01/2024  13:57:40,000","R","  49,0","      499687","       -2527","       79997","Demodulación: FM"
"01/07/2025  17:40:27,234","    90300000"," ","16/01/2024  13:57:40,000","R","  44,3","      119687","        4618","       79983","T. Medición: Default"
"01/07/2025  17:40:27,234","    90500000","RADIO LA VOZ DEL UPANO","24/07/2017  13:57:40,000","M"," 109,7","      142812","        1656","       59899","Detector: Peak"
"01/07/2025  17:40:27,234","    90700000"," ","16/01/2024  13:57:40,000","R","  43,9","      137500","       -3338","       79973","Medic. ancho de banda x dB bajo: 26,0 dB"
"01/07/2025  17:40:27,234","    90900000","LA RADIO DE LA ASAMBLEA NACIONAL","26/03/2013  13:57:40,000","R","  46,5","      499687","         702","       79952","Ancho banda Span: 500,000 kHz"
"01/07/2025  17:40:27,234","    91300000"," ","16/01/2024  13:57:40,000","R","  46,7","      498750","        -595","       79952",
"01/07/2025  17:40:27,234","    91500000"," ","16/01/2024  13:57:40,000","R","  62,6","      132812","       17671","       79957",
"01/07/2025  17:40:27,234","    91700000","BONITA FM","02/06/2005  13:57:40,000","M"," 107,6","      176875","         465","       59367",
"01/07/2025  17:40:27,234","    91900000"," ","16/01/2024  13:57:40,000","R","  47,4","      125000","      -14828","       79960",
"01/07/2025  17:40:27,234","    92100000"," ","16/01/2024  13:57:40,000","R","  49,4","      499687","        1908","       79909",
"01/07/2025  17:40:27,234","    92300000"," ","16/01/2024  13:57:40,000","R","  46,0","      499687","        6373","       79968",
"01/07/2025  17:40:27,234","    92500000"," ","16/01/2024  13:57:40,000","R","  53,6","      130312","        8584","       79991",
"01/07/2025  17:40:27,234","    92700000"," ","16/01/2024  13:57:40,000","R","  85,5","      177812","       39177","       79974",
"01/07/2025  17:40:27,234","    92900000","RADIO MIA FM (MAGNIFICA INTEGRACION AMAZÓNICA)","30/05/2017  13:57:40,000","R"," 105,7","      245000","        1015","       69549",
"01/07/2025  17:40:27,234","    93100000"," ","16/01/2024  13:57:40,000","R","  80,2","      166875","      -37543","       79929",
"01/07/2025  17:40:27,234","    93500000"," ","16/01/2024  13:57:40,000","R","  45,4","      499687","       -4328","       79950",
"01/07/2025  17:40:27,234","    93700000"," ","16/01/2024  13:57:40,000","R","  47,5","      499687","       -1040","       79908",
"01/07/2025  17:40:27,234","    93900000"," ","16/01/2024  13:57:40,000","R","  42,7","       73437","        1014","       79983",
"01/07/2025  17:40:27,234","    94100000","CANAL JUVENIL FM","12/05/1998  13:57:40,000","M","  63,0","      115625","         951","       36309",
"01/07/2025  17:40:27,234","    94300000"," ","16/01/2024  13:57:40,000","R","  38,3","       90937","      -12007","       79987",
"01/07/2025  17:40:27,234","    94500000"," ","16/01/2024  13:57:40,000","R","  44,1","      499687","        -311","       79930",
"01/07/2025  17:40:27,234","    94700000"," ","16/01/2024  13:57:40,000","R","  39,8","      499687","       -1101","       79915",
"01/07/2025  17:40:27,234","    94900000"," ","16/01/2024  13:57:40,000","R","  45,0","      499687","       -2266","       79995",
"01/07/2025  17:40:27,234","    95100000"," ","16/01/2024  13:57:40,000","R","  37,6","      499687","         709","       79985",
"01/07/2025  17:40:27,234","    95300000"," ","16/01/2024  13:57:40,000","R","  46,0","      499687","        1275","       79970",
"01/07/2025  17:40:27,234","    95500000"," ","16/01/2024  13:57:40,000","R","  36,0","      499687","        -891","       79925",
"01/07/2025  17:40:27,234","    95700000"," ","16/01/2024  13:57:40,000","R","  40,6","      499687","           5","       79955",
"01/07/2025  17:40:27,234","    95900000"," ","16/01/2024  13:57:40,000","R","  35,3","      499687","        1899","       79955",
"01/07/2025  17:40:27,234","    96100000","RADIO INTEROCEANICA","04/03/2021  13:57:40,000","R","  44,7","      499687","        -988","       79977",
"01/07/2025  17:40:27,234","    96300000"," ","16/01/2024  13:57:40,000","R","  38,2","      499687","        3249","       79990",
"01/07/2025  17:40:27,234","    96500000"," ","16/01/2024  13:57:40,000","R","  51,7","      341562","       -2502","       79949",
"01/07/2025  17:40:27,234","    96700000"," ","16/01/2024  13:57:40,000","R","  34,6","      499687","       -1256","       79970",
"01/07/2025  17:40:27,234","    96900000"," ","16/01/2024  13:57:40,000","R","  42,1","      499687","       -4551","       79940",
"01/07/2025  17:40:27,234","    97100000"," ","16/01/2024  13:57:40,000","R","  35,0","      499687","          43","       79977",
"01/07/2025  17:40:27,234","    97300000"," ","16/01/2024  13:57:40,000","R","  43,5","      499687","        -703","       79947",
"01/07/2025  17:40:27,234","    97500000"," ","16/01/2024  13:57:40,000","R","  35,4","       20312","        -712","       79960",
"01/07/2025  17:40:27,234","    97700000","SISTEMA RADIAL OLIMPICA","09/01/2003  13:57:40,000","M","  89,4","       16250","       -1343","        7215",
"01/07/2025  17:40:27,234","    97900000"," ","16/01/2024  13:57:40,000","R","  37,1","       15625","        -833","       79967",
"01/07/2025  17:40:27,234","    98100000"," ","16/01/2024  13:57:40,000","R","  48,1","      386250","       -1356","       79918",
"01/07/2025  17:40:27,234","    98300000"," ","16/01/2024  13:57:40,000","R","  64,0","      144062","       31874","       79937",
"01/07/2025  17:40:27,234","    98500000","TU PANA","02/03/2021  13:57:40,000","R","  98,3","      185625","         373","       50623",
"01/07/2025  17:40:27,234","    98700000"," ","16/01/2024  13:57:40,000","R","  60,4","      446250","      -32820","       79964",
"01/07/2025  17:40:27,234","    98900000","RADIO MARIA","07/01/2021  13:57:40,000","R","  99,4","       58750","        -522","        3469",
"01/07/2025  17:40:27,234","    99100000"," ","16/01/2024  13:57:40,000","R","  38,9","      116250","        8066","       79958",
"01/07/2025  17:40:27,234","    99300000"," ","16/01/2024  13:57:40,000","R","  55,1","      499687","         976","       79908",
"01/07/2025  17:40:27,234","    99500000"," ","16/01/2024  13:57:40,000","R","  35,4","      499687","       -8163","       79934",
"01/07/2025  17:40:27,234","    99700000"," ","16/01/2024  13:57:40,000","R","  44,4","      499687","       -1159","       79925",
"01/07/2025  17:40:27,234","    99900000"," ","16/01/2024  13:57:40,000","R","  37,5","      499687","       -1140","       79975",
"01/07/2025  17:40:27,234","   100100000","LA RADIO FM DIGITAL 100.1","28/12/2001  13:57:40,000","M","  47,3","      297812","       -1240","       79940",
"01/07/2025  17:40:27,234","   100300000"," ","16/01/2024  13:57:40,000","R","  68,8","      156562","       21795","       79970",
"01/07/2025  17:40:27,234","   100500000","RADIO RELOJ","03/03/2021  13:57:40,000","M"," 108,3","      199687","        -317","       79907",
"01/07/2025  17:40:27,234","   100700000"," ","16/01/2024  13:57:40,000","R","  67,4","      140937","      -25758","       79980",
"01/07/2025  17:40:27,234","   100900000"," ","16/01/2024  13:57:40,000","R","  41,9","      345625","        2008","       79958",
"01/07/2025  17:40:27,234","   101100000"," ","16/01/2024  13:57:40,000","R","  37,7","      499687","       -1277","       79992",
"01/07/2025  17:40:27,234","   101300000"," ","16/01/2024  13:57:40,000","R","  42,9","      499687","        1495","       79992",
"01/07/2025  17:40:27,234","   101500000"," ","16/01/2024  13:57:40,000","R","  39,1","      122500","        3021","       79983",
"01/07/2025  17:40:27,234","   101700000","RADIO UNIVERSITARIA PRIMICIAS DE LA CULTURA","04/07/2023  13:57:40,000","M","  99,7","      153750","          80","       64010",
"01/07/2025  17:40:27,234","   101900000"," ","16/01/2024  13:57:40,000","R","  41,1","      109062","        5909","       79927",
"01/07/2025  17:40:27,234","   102100000"," ","16/01/2024  13:57:40,000","R","  46,0","      499687","       -4830","       79975",
"01/07/2025  17:40:27,234","   102300000"," ","16/01/2024  13:57:40,000","R","  41,2","      172187","      -15442","       79940",
"01/07/2025  17:40:27,234","   102500000","RADIO KIRUBA 102.5 FM(NO AUTORIZADA)","30/04/1998  13:57:40,000","M","  91,6","      221250","        -291","       79907",
"01/07/2025  17:40:27,234","   102700000"," ","16/01/2024  13:57:40,000","R","  38,7","      168437","       10494","       79942",
"01/07/2025  17:40:27,234","   102900000"," ","16/01/2024  13:57:40,000","R","  51,5","      499687","       -1926","       79908",
"01/07/2025  17:40:27,234","   103100000"," ","16/01/2024  13:57:40,000","R","  35,6","      499687","       -3434","       79952",
"01/07/2025  17:40:27,234","   103300000"," ","16/01/2024  13:57:40,000","R","  40,1","      499687","         804","       79970",
"01/07/2025  17:40:27,234","   103500000"," ","16/01/2024  13:57:40,000","R","  39,4","      499687","         115","       79987",
"01/07/2025  17:40:27,234","   103700000","RADIO IKIAM NO AUTORIZADA","22/11/2017  13:57:40,000","M","  40,7","      499687","        -692","       79940",
"01/07/2025  17:40:27,234","   103900000"," ","16/01/2024  13:57:40,000","R","  47,0","      495000","       12972","       79985",
"01/07/2025  17:40:27,234","   104100000"," ","16/01/2024  13:57:40,000","R","  61,3","      378437","        1875","       79945",
"01/07/2025  17:40:27,234","   104300000"," ","16/01/2024  13:57:40,000","R","  52,4","      250625","      -21865","       79989",
"01/07/2025  17:40:27,234","   104500000"," ","16/01/2024  13:57:40,000","R","  37,6","      499687","          54","       79933",
"01/07/2025  17:40:27,234","   104700000"," ","16/01/2024  13:57:40,000","R","  36,3","      499687","        1388","       79926",
"01/07/2025  17:40:27,234","   104900000","SHALOM","28/01/2022  13:57:40,000"," ","  43,0","      499687","        -647","       79907",
"01/07/2025  17:40:27,234","   105100000"," ","16/01/2024  13:57:40,000","R","  34,9","      499687","       -1229","       79928",
"01/07/2025  17:40:27,234","   105300000"," ","16/01/2024  13:57:40,000","R","  37,5","      499687","         759","       79955",
"01/07/2025  17:40:27,234","   105500000"," ","16/01/2024  13:57:40,000","R","  34,6","      499687","        2500","       79939",
"01/07/2025  17:40:27,234","   105700000"," ","16/01/2024  13:57:40,000","R","  37,2","      499687","       -1154","       79908",
"01/07/2025  17:40:27,234","   105900000"," ","16/01/2024  13:57:40,000","R","  33,6","      499687","         647","       79973",
"01/07/2025  17:40:27,234","   106100000"," ","16/01/2024  13:57:40,000","R","  40,9","      495937","        1334","       79935",
"01/07/2025  17:40:27,234","   106300000"," ","16/01/2024  13:57:40,000","R","  61,2","      220625","       33421","       79950",
"01/07/2025  17:40:27,234","   106500000","ESTELAR FM","02/03/2021  13:57:40,000","M","  75,1","      308125","        2711","       79909",
"01/07/2025  17:40:27,234","   106700000"," ","16/01/2024  13:57:40,000","R","  47,0","      209062","      -21376","       79934",
"01/07/2025  17:40:27,234","   106900000"," ","16/01/2024  13:57:40,000","R","  38,4","      499687","        -831","       79908",
"01/07/2025  17:40:27,234","   107100000"," ","16/01/2024  13:57:40,000","R","  34,9","      499687","       -2503","       79965",
"01/07/2025  17:40:27,234","   107300000","LA VOZ DE ARUTAM (NO AUTORIZADA)","02/07/2004  13:57:40,000","M","  43,0","      499687","       -2131","       79908",
"01/07/2025  17:40:27,234","   107500000"," ","16/01/2024  13:57:40,000","R","  32,9","      499687","        7604","       79973",
